ESTACION,PRODUCTO,FECHA,Ventas Acumuladas,Ventas Acumuladas $,Volumen Total Vendido,Precio Cartel,Comision $,COMISION
SARMIENTO,GO,2023-07-30,8741,50428,202,249,6823,33
SARMIENTO,GO,2023-07-31,9317,143844,576,249,19463,33
SARMIENTO,GO,2023-08-01,461,115114,461,249,15709,34
SARMIENTO,GO,2023-08-02,765,79166,304,260,13665,44
SARMIENTO,GO,2023-08-03,997,60308,231,260,8119,35
SARMIENTO,GO,2023-08-04,1264,69662,267,260,9379,35
SARMIENTO,GO,2023-08-05,1585,83676,321,260,11266,35
SARMIENTO,GO,2023-08-06,1760,45499,174,260,6126,35
SARMIENTO,GO,2023-08-07,2072,81197,311,260,10932,35
SARMIENTO,GO,2023-08-08,2839,199867,767,260,26909,35
SARMIENTO,GO,2023-08-09,3136,77130,296,260,10384,35
SARMIENTO,GO,2023-08-10,3635,129973,499,260,17499,35
ADOLFO CALLE,GO,2023-05-01,45,9974,45,217,1447,31
ADOLFO CALLE,GO,2023-05-02,172,27629,127,217,4008,31
ADOLFO CALLE,GO,2023-05-03,327,33555,154,217,4868,31
ADOLFO CALLE,GO,2023-05-04,485,34412,158,217,4992,31
ADOLFO CALLE,GO,2023-05-05,636,32870,151,217,4768,31
ADOLFO CALLE,GO,2023-05-06,724,19000,87,217,2756,31
ADOLFO CALLE,GO,2023-05-07,752,6191,28,217,898,31
ADOLFO CALLE,GO,2023-05-08,911,34449,158,217,4997,31
ADOLFO CALLE,GO,2023-05-09,1153,52712,242,217,7647,31
ADOLFO CALLE,GO,2023-05-10,1291,29896,137,217,4337,31
ADOLFO CALLE,GO,2023-05-11,1432,30701,141,217,4454,31
ADOLFO CALLE,GO,2023-05-12,1616,40110,184,217,5819,31
ADOLFO CALLE,GO,2023-05-13,1718,22024,101,217,3195,31
ADOLFO CALLE,GO,2023-05-14,1727,2000,9,217,290,31
ADOLFO CALLE,GO,2023-05-15,1792,14096,64,217,2045,31
ADOLFO CALLE,GO,2023-05-16,2070,60528,278,217,8781,31
ADOLFO CALLE,GO,2023-05-17,2139,15430,68,225,2684,39
ADOLFO CALLE,GO,2023-05-18,2276,30800,136,225,5357,39
ADOLFO CALLE,GO,2023-05-19,2435,35806,159,225,4783,30
ADOLFO CALLE,GO,2023-05-20,2591,35100,156,225,4689,30
ADOLFO CALLE,GO,2023-05-21,2651,13506,60,225,1804,30
ADOLFO CALLE,GO,2023-05-22,2708,12807,56,225,1711,30
ADOLFO CALLE,GO,2023-05-23,2882,39206,174,225,5237,30
ADOLFO CALLE,GO,2023-05-24,3066,41413,184,225,5532,30
ADOLFO CALLE,GO,2023-05-25,3164,22009,97,225,2940,30
ADOLFO CALLE,GO,2023-05-26,3278,25787,114,225,3445,30
ADOLFO CALLE,GO,2023-05-27,3359,18099,80,225,2418,30
ADOLFO CALLE,GO,2023-05-28,3450,20612,91,225,2753,30
ADOLFO CALLE,GO,2023-05-29,3538,19701,87,225,2632,30
ADOLFO CALLE,GO,2023-05-30,3632,21161,94,225,2827,30
ADOLFO CALLE,GO,2023-05-31,3727,21375,95,225,2855,30
ADOLFO CALLE,GO,2023-06-01,166,37408,166,225,4997,30
ADOLFO CALLE,GO,2023-06-02,257,20576,91,225,2748,30
ADOLFO CALLE,GO,2023-06-03,408,33828,150,225,4519,30
ADOLFO CALLE,GO,2023-06-04,422,3305,14,225,441,30
ADOLFO CALLE,GO,2023-06-05,575,34454,153,225,4603,30
ADOLFO CALLE,GO,2023-06-06,689,25580,113,225,3417,30
ADOLFO CALLE,GO,2023-06-07,879,42707,189,225,5705,30
ADOLFO CALLE,GO,2023-06-08,1117,53550,238,225,7154,30
ADOLFO CALLE,GO,2023-06-09,1235,26496,117,225,3539,30
ADOLFO CALLE,GO,2023-06-10,1335,22500,100,225,3006,30
ADOLFO CALLE,GO,2023-06-11,1367,7303,32,225,975,30
ADOLFO CALLE,GO,2023-06-12,1498,29502,131,225,3941,30
ADOLFO CALLE,GO,2023-06-13,1563,14478,64,225,1934,30
ADOLFO CALLE,GO,2023-06-14,1708,32744,145,225,4374,30
ADOLFO CALLE,GO,2023-06-15,1810,22934,101,225,3064,30
ADOLFO CALLE,GO,2023-06-16,1991,40686,180,225,5435,30
ADOLFO CALLE,GO,2023-06-17,2098,25904,107,241,5002,46
ADOLFO CALLE,GO,2023-06-18,2189,21905,90,241,4230,46
ADOLFO CALLE,GO,2023-06-19,2288,24000,99,241,4635,46
ADOLFO CALLE,GO,2023-06-20,2342,12915,53,241,2494,46
ADOLFO CALLE,GO,2023-06-21,2461,28946,119,241,4201,35
ADOLFO CALLE,GO,2023-06-22,2529,16336,67,241,2371,35
ADOLFO CALLE,GO,2023-06-23,2691,39105,161,241,5676,35
ADOLFO CALLE,GO,2023-06-24,2777,20806,86,241,3020,35
ADOLFO CALLE,GO,2023-06-25,2808,7499,31,241,1088,35
ADOLFO CALLE,GO,2023-06-26,2912,25119,103,241,3646,35
ADOLFO CALLE,GO,2023-06-27,2970,13954,57,241,2025,35
ADOLFO CALLE,GO,2023-06-28,3138,40547,167,241,5885,35
ADOLFO CALLE,GO,2023-06-29,3236,23737,98,241,3445,35
ADOLFO CALLE,GO,2023-06-30,3356,29018,120,241,4212,35
ADOLFO CALLE,GO,2023-07-01,156,37894,156,241,5500,35
ADOLFO CALLE,GO,2023-07-02,197,9886,40,241,1435,35
ADOLFO CALLE,GO,2023-07-03,255,13904,57,241,2018,35
ADOLFO CALLE,GO,2023-07-04,370,27858,115,241,4043,35
ADOLFO CALLE,GO,2023-07-05,504,32275,133,241,4685,35
ADOLFO CALLE,GO,2023-07-06,643,33604,139,241,4877,35
ADOLFO CALLE,GO,2023-07-07,826,44311,183,241,6432,35
ADOLFO CALLE,GO,2023-07-08,1021,48592,194,249,8368,42
ADOLFO CALLE,GO,2023-07-09,1106,21207,85,249,3652,42
ADOLFO CALLE,GO,2023-07-10,1428,80321,321,249,13833,42
ADOLFO CALLE,GO,2023-07-11,1576,37005,148,249,5007,33
ADOLFO CALLE,GO,2023-07-12,1731,38540,154,249,5214,33
ADOLFO CALLE,GO,2023-07-13,1836,26202,105,249,3545,33
ADOLFO CALLE,GO,2023-07-14,2054,54528,218,249,7378,33
ADOLFO CALLE,GO,2023-07-15,2132,19301,77,249,2611,33
ADOLFO CALLE,GO,2023-07-16,2210,19485,78,249,2636,33
ADOLFO CALLE,GO,2023-07-17,2254,11155,44,249,1509,33
ADOLFO CALLE,GO,2023-07-18,2420,41349,165,249,5595,33
ADOLFO CALLE,GO,2023-07-19,2500,19999,80,249,2706,33
ADOLFO CALLE,GO,2023-07-20,2630,32325,129,249,4373,33
ADOLFO CALLE,GO,2023-07-21,2789,39725,159,249,5375,33
ADOLFO CALLE,GO,2023-07-22,2875,21402,85,249,2895,33
ADOLFO CALLE,GO,2023-07-23,2967,22966,92,249,3107,33
ADOLFO CALLE,GO,2023-07-24,3108,35114,140,249,4751,33
ADOLFO CALLE,GO,2023-07-25,3198,22459,90,249,3039,33
ADOLFO CALLE,GO,2023-07-26,3363,41309,165,249,5589,33
ADOLFO CALLE,GO,2023-07-27,3441,19513,78,249,2640,33
ADOLFO CALLE,GO,2023-07-28,3548,26531,106,249,3590,33
ADOLFO CALLE,GO,2023-07-29,3697,37252,149,249,5040,33
ADOLFO CALLE,GO,2023-07-30,3757,15012,60,249,2031,33
ADOLFO CALLE,GO,2023-07-31,3904,36676,147,249,4962,33
ADOLFO CALLE,GO,2023-08-01,267,66851,267,249,9123,34
ADOLFO CALLE,GO,2023-08-02,445,46348,177,260,8000,44
ADOLFO CALLE,GO,2023-08-03,720,71375,274,260,9609,35
ADOLFO CALLE,GO,2023-08-04,720,0,0,260,0,35
ADOLFO CALLE,GO,2023-08-05,720,0,0,260,0,35
ADOLFO CALLE,GO,2023-08-06,723,802,3,260,107,35
ADOLFO CALLE,GO,2023-08-07,723,0,0,260,0,35
ADOLFO CALLE,GO,2023-08-08,725,546,2,260,73,35
ADOLFO CALLE,GO,2023-08-09,725,0,0,260,0,35
ADOLFO CALLE,GO,2023-08-10,730,1257,4,260,169,35
MITRE,GO,2023-05-01,241,52502,241,217,7616,31
MITRE,GO,2023-05-02,939,151701,697,217,22008,31
MITRE,GO,2023-05-03,1760,178550,821,217,25903,31
MITRE,GO,2023-05-04,3204,313892,1443,217,45539,31
MITRE,GO,2023-05-05,4330,244877,1126,217,35526,31
MITRE,GO,2023-05-06,4955,135805,624,217,19702,31
MITRE,GO,2023-05-07,7782,614681,2827,217,89176,31
MITRE,GO,2023-05-08,9284,326369,1501,217,47349,31
MITRE,GO,2023-05-09,10395,241498,1110,217,35036,31
MITRE,GO,2023-05-10,10753,77859,358,217,11295,31
MITRE,GO,2023-05-11,10891,30142,138,217,4373,31
MITRE,GO,2023-05-12,11960,232370,1068,217,33711,31
MITRE,GO,2023-05-13,13130,254225,1169,217,36882,31
MITRE,GO,2023-05-14,13483,76746,353,217,11134,31
MITRE,GO,2023-05-15,14753,276121,1270,217,40059,31
MITRE,GO,2023-05-16,15673,200068,920,217,29025,31
MITRE,GO,2023-05-17,16907,277710,1234,225,48309,39
MITRE,GO,2023-05-18,19272,532026,2364,225,92548,39
MITRE,GO,2023-05-19,20936,374442,1664,225,50025,30
MITRE,GO,2023-05-20,22318,310965,1382,225,41545,30
MITRE,GO,2023-05-21,22793,106947,475,225,14288,30
MITRE,GO,2023-05-22,24420,365958,1626,225,48891,30
MITRE,GO,2023-05-23,26604,491409,2184,225,65652,30
MITRE,GO,2023-05-24,27013,92079,409,225,12301,30
MITRE,GO,2023-05-25,27527,115661,514,225,15452,30
MITRE,GO,2023-05-26,28493,217284,965,225,29029,30
MITRE,GO,2023-05-27,32256,846618,3762,225,113108,30
MITRE,GO,2023-05-28,32527,61071,271,225,8159,30
MITRE,GO,2023-05-29,33893,307359,1366,225,41063,30
MITRE,GO,2023-05-30,34663,173265,770,225,23148,30
MITRE,GO,2023-05-31,34770,24032,106,225,3210,30
MITRE,GO,2023-06-01,29,6700,29,225,895,30
MITRE,GO,2023-06-02,36,1534,6,225,205,30
MITRE,GO,2023-06-03,43,1566,6,225,209,30
MITRE,GO,2023-06-04,50,1500,6,225,200,30
MITRE,GO,2023-06-05,209,35752,158,225,4776,30
MITRE,GO,2023-06-06,914,158721,705,225,21205,30
MITRE,GO,2023-06-07,1883,218119,969,225,29140,30
MITRE,GO,2023-06-08,2875,223074,991,225,29802,30
MITRE,GO,2023-06-09,4358,333699,1483,225,44582,30
MITRE,GO,2023-06-10,5601,279641,1242,225,37360,30
MITRE,GO,2023-06-11,6048,100505,446,225,13427,30
MITRE,GO,2023-06-12,7062,228348,1014,225,30507,30
MITRE,GO,2023-06-13,8316,282159,1254,225,37696,30
MITRE,GO,2023-06-14,8884,127611,567,225,17048,30
MITRE,GO,2023-06-15,10114,276718,1229,225,36969,30
MITRE,GO,2023-06-16,11445,299549,1331,225,40019,30
MITRE,GO,2023-06-17,11954,122962,508,241,23747,46
MITRE,GO,2023-06-18,12254,72465,299,241,13995,46
MITRE,GO,2023-06-19,13107,206123,853,241,39808,46
MITRE,GO,2023-06-20,13299,46384,191,241,8958,46
MITRE,GO,2023-06-21,14037,178305,738,241,25882,35
MITRE,GO,2023-06-22,15048,244165,1010,241,35442,35
MITRE,GO,2023-06-23,15596,132522,548,241,19236,35
MITRE,GO,2023-06-24,16160,136173,563,241,19766,35
MITRE,GO,2023-06-25,16350,46048,190,241,6684,35
MITRE,GO,2023-06-26,19168,680739,2817,241,98814,35
MITRE,GO,2023-06-27,20365,289166,1196,241,41974,35
MITRE,GO,2023-06-28,20983,149303,617,241,21672,35
MITRE,GO,2023-06-29,21618,153411,634,241,22268,35
MITRE,GO,2023-06-30,22375,182857,756,241,26543,35
MITRE,GO,2023-07-01,326,78855,326,241,11446,35
MITRE,GO,2023-07-02,507,43753,181,241,6351,35
MITRE,GO,2023-07-03,1385,212173,878,241,30798,35
MITRE,GO,2023-07-04,2276,215306,891,241,31253,35
MITRE,GO,2023-07-05,2748,113868,471,241,16528,35
MITRE,GO,2023-07-06,3269,125946,521,241,18281,35
MITRE,GO,2023-07-07,4387,270021,1117,241,39195,35
MITRE,GO,2023-07-08,4746,89717,359,249,15451,42
MITRE,GO,2023-07-09,5126,94735,379,249,16315,42
MITRE,GO,2023-07-10,6585,363990,1458,249,62688,42
MITRE,GO,2023-07-11,6973,96943,388,249,13117,33
MITRE,GO,2023-07-12,7749,193444,775,249,26175,33
MITRE,GO,2023-07-13,8418,167100,669,249,22610,33
MITRE,GO,2023-07-14,9553,282972,1134,249,38289,33
MITRE,GO,2023-07-15,10209,163864,656,249,22172,33
MITRE,GO,2023-07-16,10489,69817,279,249,9447,33
MITRE,GO,2023-07-17,12057,391268,1568,249,52942,33
MITRE,GO,2023-07-18,13127,266845,1069,249,36106,33
MITRE,GO,2023-07-19,13535,101786,407,249,13772,33
MITRE,GO,2023-07-20,13945,102255,409,249,13836,33
MITRE,GO,2023-07-21,14716,192521,771,249,26050,33
MITRE,GO,2023-07-22,15036,79657,319,249,10778,33
MITRE,GO,2023-07-23,15137,25306,101,249,3424,33
MITRE,GO,2023-07-24,15771,158093,633,249,21391,33
MITRE,GO,2023-07-25,16708,233878,937,249,31646,33
MITRE,GO,2023-07-26,17623,228212,914,249,30879,33
MITRE,GO,2023-07-27,18460,208981,837,249,28277,33
MITRE,GO,2023-07-28,18901,110007,440,249,14885,33
MITRE,GO,2023-07-29,19302,99902,400,249,13517,33
MITRE,GO,2023-07-30,20073,192364,771,249,26028,33
MITRE,GO,2023-07-31,20977,225657,904,249,30533,33
MITRE,GO,2023-08-01,904,235583,904,260,40666,44
MITRE,GO,2023-08-02,1458,144193,553,260,24890,44
MITRE,GO,2023-08-03,1697,62183,238,260,8372,35
MITRE,GO,2023-08-04,2846,299306,1149,260,40298,35
MITRE,GO,2023-08-05,3182,87431,335,260,11771,35
MITRE,GO,2023-08-06,4150,252002,967,260,33929,35
MITRE,GO,2023-08-07,5595,376462,1445,260,50686,35
MITRE,GO,2023-08-08,6079,125968,483,260,16960,35
MITRE,GO,2023-08-09,6141,16123,61,260,2170,35
MITRE,GO,2023-08-10,6144,700,2,260,94,35
URQUIZA,GO,2023-05-01,107,23359,107,217,3388,31
URQUIZA,GO,2023-05-02,1200,237681,1093,217,34482,31
URQUIZA,GO,2023-05-03,2449,271539,1249,217,39394,31
URQUIZA,GO,2023-05-04,2720,58861,270,217,8539,31
URQUIZA,GO,2023-05-05,3071,76231,350,217,11059,31
URQUIZA,GO,2023-05-06,3185,24905,114,217,3613,31
URQUIZA,GO,2023-05-07,3351,36023,165,217,5226,31
URQUIZA,GO,2023-05-08,3579,49523,227,217,7184,31
URQUIZA,GO,2023-05-09,3860,61176,281,217,8875,31
URQUIZA,GO,2023-05-10,4064,44397,204,217,6441,31
URQUIZA,GO,2023-05-11,4359,64087,294,217,9297,31
URQUIZA,GO,2023-05-12,4758,86749,399,217,12585,31
URQUIZA,GO,2023-05-13,5043,61991,285,217,8993,31
URQUIZA,GO,2023-05-14,5141,21313,98,217,3092,31
URQUIZA,GO,2023-05-15,5298,33981,156,217,4930,31
URQUIZA,GO,2023-05-17,5428,29335,130,225,5103,39
URQUIZA,GO,2023-05-18,5689,58725,261,225,10215,39
URQUIZA,GO,2023-05-19,5957,60180,267,225,8040,30
URQUIZA,GO,2023-05-20,6188,52060,231,225,6955,30
URQUIZA,GO,2023-05-21,6296,24214,107,225,3235,30
URQUIZA,GO,2023-05-22,6473,40014,177,225,5345,30
URQUIZA,GO,2023-05-23,6787,70528,313,225,9422,30
URQUIZA,GO,2023-05-24,7086,67387,299,225,9002,30
URQUIZA,GO,2023-05-25,7178,20706,92,225,2766,30
URQUIZA,GO,2023-05-26,7285,23910,106,225,3194,30
URQUIZA,GO,2023-05-27,7494,47133,209,225,6296,30
URQUIZA,GO,2023-05-28,7627,29943,133,225,4000,30
URQUIZA,GO,2023-05-29,7787,36045,160,225,4815,30
URQUIZA,GO,2023-05-30,7894,24003,106,225,3206,30
URQUIZA,GO,2023-05-31,8449,124897,555,225,16686,30
URQUIZA,GO,2023-06-01,383,86267,383,225,11525,30
URQUIZA,GO,2023-06-02,550,37541,166,225,5015,30
URQUIZA,GO,2023-06-03,565,3503,15,225,468,30
URQUIZA,GO,2023-06-06,568,501,2,225,67,30
URQUIZA,GO,2023-06-07,612,10001,44,225,1336,30
URQUIZA,GO,2023-06-08,614,504,2,225,67,30
URQUIZA,GO,2023-06-10,616,501,2,225,67,30
URQUIZA,GO,2023-06-13,668,11504,51,225,1536,30
URQUIZA,GO,2023-06-14,1081,93109,413,225,12439,30
URQUIZA,GO,2023-06-15,1253,38607,171,225,5157,30
URQUIZA,GO,2023-06-16,1670,93924,417,225,12548,30
URQUIZA,GO,2023-06-17,1840,40994,169,241,7917,46
URQUIZA,GO,2023-06-18,1951,26861,111,241,5187,46
URQUIZA,GO,2023-06-19,2045,22611,93,241,4366,46
URQUIZA,GO,2023-06-20,2127,19823,82,241,3828,46
URQUIZA,GO,2023-06-21,2580,109502,453,241,15895,35
URQUIZA,GO,2023-06-22,2683,24940,103,241,3620,35
URQUIZA,GO,2023-06-23,2887,49213,203,241,7143,35
URQUIZA,GO,2023-06-24,3031,34763,143,241,5046,35
URQUIZA,GO,2023-06-25,3169,33309,137,241,4835,35
URQUIZA,GO,2023-06-26,3310,34116,141,241,4952,35
URQUIZA,GO,2023-06-27,3437,30719,127,241,4459,35
URQUIZA,GO,2023-06-28,3667,55459,229,241,8050,35
URQUIZA,GO,2023-06-29,3864,47551,196,241,6902,35
URQUIZA,GO,2023-06-30,4160,71610,296,241,10394,35
URQUIZA,GO,2023-07-01,225,54471,225,241,7906,35
URQUIZA,GO,2023-07-02,237,3000,12,241,435,35
URQUIZA,GO,2023-07-04,335,23510,97,241,3412,35
URQUIZA,GO,2023-07-05,578,58672,242,241,8516,35
URQUIZA,GO,2023-07-06,1045,112846,467,241,16380,35
URQUIZA,GO,2023-07-07,1236,46343,191,241,6727,35
URQUIZA,GO,2023-07-08,1419,45506,182,249,7837,42
URQUIZA,GO,2023-07-09,1513,23507,94,249,4048,42
URQUIZA,GO,2023-07-10,1705,47771,191,249,8227,42
URQUIZA,GO,2023-07-11,2020,78717,315,249,10651,33
URQUIZA,GO,2023-07-12,2183,40725,163,249,5510,33
URQUIZA,GO,2023-07-13,2453,67392,270,249,9118,33
URQUIZA,GO,2023-07-14,2675,55396,222,249,7495,33
URQUIZA,GO,2023-07-15,2887,52819,211,249,7146,33
URQUIZA,GO,2023-07-16,2983,24009,96,249,3248,33
URQUIZA,GO,2023-07-17,3160,43959,176,249,5948,33
URQUIZA,GO,2023-07-18,3353,48223,193,249,6525,33
URQUIZA,GO,2023-07-19,3623,67494,270,249,9132,33
URQUIZA,GO,2023-07-20,3982,89420,358,249,12099,33
URQUIZA,GO,2023-07-21,4224,60471,242,249,8182,33
URQUIZA,GO,2023-07-22,4383,39717,159,249,5374,33
URQUIZA,GO,2023-07-23,4580,49114,196,249,6645,33
URQUIZA,GO,2023-07-24,4729,37222,149,249,5036,33
URQUIZA,GO,2023-07-25,4948,54520,218,249,7377,33
URQUIZA,GO,2023-07-26,5185,59086,236,249,7995,33
URQUIZA,GO,2023-07-27,5378,48350,193,249,6542,33
URQUIZA,GO,2023-07-28,5543,41120,164,249,5563,33
URQUIZA,GO,2023-07-29,5800,64156,257,249,8681,33
URQUIZA,GO,2023-07-30,5882,20409,81,249,2761,33
URQUIZA,GO,2023-07-31,6112,57437,230,249,7771,33
URQUIZA,GO,2023-08-01,729,181957,729,249,24832,34
URQUIZA,GO,2023-08-02,1226,129397,496,260,22336,44
URQUIZA,GO,2023-08-03,1478,65620,252,260,8835,35
URQUIZA,GO,2023-08-04,1651,45017,172,260,6061,35
URQUIZA,GO,2023-08-05,1838,48908,187,260,6584,35
URQUIZA,GO,2023-08-06,1996,41093,157,260,5532,35
URQUIZA,GO,2023-08-07,2364,95840,368,260,12903,35
URQUIZA,GO,2023-08-08,2505,36729,141,260,4945,35
URQUIZA,GO,2023-08-09,2679,45221,173,260,6088,35
URQUIZA,GO,2023-08-10,2975,76987,295,260,10365,35
PERDRIEL,GO,2023-05-01,76728,16765269,76728,218,1710057,0
PERDRIEL,GO,2023-05-02,155201,17146166,78472,218,1748909,0
PERDRIEL,GO,2023-05-03,207439,11414005,52238,218,1164228,0
PERDRIEL,GO,2023-05-04,288496,17710978,81057,218,1806519,0
PERDRIEL,GO,2023-05-05,350350,13515254,61854,218,1378555,0
PERDRIEL,GO,2023-05-06,423210,15919767,72859,218,1623816,0
PERDRIEL,GO,2023-05-07,506372,18170870,83161,218,1853428,0
PERDRIEL,GO,2023-05-08,580151,16120777,73779,218,1644319,0
PERDRIEL,GO,2023-05-09,626093,10038298,45941,218,1023906,0
PERDRIEL,GO,2023-05-10,694032,15189824,67939,218,1549362,0
PERDRIEL,GO,2023-05-11,766495,16166237,72462,218,1648956,0
PERDRIEL,GO,2023-05-12,830644,14294730,64148,218,1458062,0
PERDRIEL,GO,2023-05-13,885023,12145929,54379,218,1238884,0
PERDRIEL,GO,2023-05-14,966039,18092805,81015,218,1845466,0
PERDRIEL,GO,2023-05-15,1054919,19853359,88880,218,2025042,0
PERDRIEL,GO,2023-05-16,1116511,13758098,61591,218,1403325,0
PERDRIEL,GO,2023-05-17,1207595,20876553,91084,229,2129408,0
PERDRIEL,GO,2023-05-18,1288680,18528765,81085,228,1889934,0
PERDRIEL,GO,2023-05-19,1362665,16861149,73984,227,1719837,0
PERDRIEL,GO,2023-05-20,1436965,16932842,74299,227,1727149,0
PERDRIEL,GO,2023-05-21,1516235,18065742,79270,227,1842705,0
PERDRIEL,GO,2023-05-22,1556477,9171099,40241,227,935452,0
PERDRIEL,GO,2023-05-23,1610148,12231598,53670,227,1247623,0
PERDRIEL,GO,2023-05-24,1678239,15518018,68091,227,1425735,0
PERDRIEL,GO,2023-05-25,1718750,9232386,40510,227,809805,0
PERDRIEL,GO,2023-05-26,1752657,7727382,33906,227,672760,0
PERDRIEL,GO,2023-05-27,1806302,12225656,53644,227,1048362,0
PERDRIEL,GO,2023-05-28,1857660,11704631,51358,227,1008690,0
PERDRIEL,GO,2023-05-29,1917321,13596684,59660,227,1178193,0
PERDRIEL,GO,2023-05-30,1973969,12909956,56647,227,1140740,0
PERDRIEL,GO,2023-05-31,2050187,17370123,76218,227,1534396,0
PERDRIEL,GO,2023-06-01,85264,19431868,85264,227,1982050,0
PERDRIEL,GO,2023-06-02,166252,18457183,80988,227,1882632,0
PERDRIEL,GO,2023-06-03,232027,14990040,65774,227,1528984,0
PERDRIEL,GO,2023-06-04,308188,17356968,76160,227,1770410,0
PERDRIEL,GO,2023-06-05,385592,17640387,77404,227,1799319,0
PERDRIEL,GO,2023-06-06,458243,16557181,72651,227,1688832,0
PERDRIEL,GO,2023-06-07,536964,17940613,78721,227,1829942,0
PERDRIEL,GO,2023-06-08,625845,20255854,88880,227,2066097,0
PERDRIEL,GO,2023-06-09,700932,17112525,75087,227,1745477,0
PERDRIEL,GO,2023-06-10,754241,12148993,53308,227,1239197,0
PERDRIEL,GO,2023-06-11,824194,15942195,69952,227,1626103,0
PERDRIEL,GO,2023-06-12,887979,14536678,63785,227,1482741,0
PERDRIEL,GO,2023-06-13,959522,16304795,71543,227,1663089,0
PERDRIEL,GO,2023-06-14,1018853,13521368,59330,227,1379179,0
PERDRIEL,GO,2023-06-15,1090326,16288863,71473,227,1661464,0
PERDRIEL,GO,2023-06-16,1172672,19336773,82345,227,1972350,0
PERDRIEL,GO,2023-06-17,1236484,15417061,63812,241,1572540,0
PERDRIEL,GO,2023-06-18,1313284,18554776,76799,241,1892587,0
PERDRIEL,GO,2023-06-19,1386182,17612122,72897,241,1796436,0
PERDRIEL,GO,2023-06-20,1414537,6850698,28355,241,698771,0
PERDRIEL,GO,2023-06-21,1457866,10468122,43328,241,1067748,0
PERDRIEL,GO,2023-06-22,1508148,12148094,50281,241,1239105,0
PERDRIEL,GO,2023-06-23,1558322,12122236,50174,241,1236468,0
PERDRIEL,GO,2023-06-24,1628897,17050787,70574,241,1739180,0
PERDRIEL,GO,2023-06-25,1658767,7216749,29870,241,628987,0
PERDRIEL,GO,2023-06-26,1703915,10907631,45147,241,967416,0
PERDRIEL,GO,2023-06-27,1743352,9527979,39437,241,850702,0
PERDRIEL,GO,2023-06-28,1787948,10774301,44595,241,970656,0
PERDRIEL,GO,2023-06-29,1817431,7123276,29483,241,651175,0
PERDRIEL,GO,2023-06-30,1854983,9072529,37551,241,825902,0
PERDRIEL,GO,2023-07-01,19437,4696107,19437,241,479002,0
PERDRIEL,GO,2023-07-02,37877,4455142,18440,241,454424,0
PERDRIEL,GO,2023-07-03,72347,8327942,34469,241,849450,0
PERDRIEL,GO,2023-07-04,107089,8393686,34742,241,856156,0
PERDRIEL,GO,2023-07-05,155160,11613929,48070,241,1184620,0
PERDRIEL,GO,2023-07-06,192174,8942642,37014,241,912149,0
PERDRIEL,GO,2023-07-07,237394,11138496,45219,241,1136126,0
PERDRIEL,GO,2023-07-08,284073,11786500,46679,252,1202223,0
PERDRIEL,GO,2023-07-09,320159,9111631,36085,252,929386,0
PERDRIEL,GO,2023-07-10,378009,14607299,57850,252,1489944,0
PERDRIEL,GO,2023-07-11,436469,14761079,58459,252,1505630,0
PERDRIEL,GO,2023-07-12,496080,15051721,59610,252,1535275,0
PERDRIEL,GO,2023-07-13,545714,12532595,49634,252,1278324,0
PERDRIEL,GO,2023-07-14,623767,19708405,78053,252,2010257,0
PERDRIEL,GO,2023-07-15,667602,11068201,43834,252,1128956,0
PERDRIEL,GO,2023-07-16,693826,6621655,26224,252,675408,0
PERDRIEL,GO,2023-07-17,763188,17514026,69362,252,1786430,0
PERDRIEL,GO,2023-07-18,807207,11114787,44018,252,1133708,0
PERDRIEL,GO,2023-07-19,891036,21166635,83828,252,2158996,0
PERDRIEL,GO,2023-07-20,994398,26099074,103362,252,2662105,0
PERDRIEL,GO,2023-07-21,1058496,16184606,64097,252,1650829,0
PERDRIEL,GO,2023-07-22,1114991,14264967,56494,252,1455026,0
PERDRIEL,GO,2023-07-23,1156043,10591902,41052,252,1080374,0
PERDRIEL,GO,2023-07-24,1257174,25535607,101131,252,2604631,0
PERDRIEL,GO,2023-07-25,1313080,14116090,55905,252,1439841,0
PERDRIEL,GO,2023-07-26,1389125,19201531,76045,252,1958556,0
PERDRIEL,GO,2023-07-27,1479048,22705542,89922,252,2315965,0
PERDRIEL,GO,2023-07-28,1542678,16066479,63629,252,1638780,0
PERDRIEL,GO,2023-07-29,1598560,14110083,55881,252,1439228,0
PERDRIEL,GO,2023-07-30,1674893,19274140,76333,252,1768380,0
PERDRIEL,GO,2023-07-31,1742921,17499561,68028,252,1525807,0
PERDRIEL,GO,2023-08-01,69022,17949153,69022,252,1830813,0
PERDRIEL,GO,2023-08-02,149020,21111469,79997,263,2153369,0
PERDRIEL,GO,2023-08-03,245012,25332191,95991,263,2583883,0
PERDRIEL,GO,2023-08-04,314078,18226461,69065,263,1859099,0
PERDRIEL,GO,2023-08-05,387756,19443795,73678,263,1983267,0
PERDRIEL,GO,2023-08-06,459209,18856309,71452,263,1923343,0
PERDRIEL,GO,2023-08-07,547092,23192302,87882,263,2365614,0
PERDRIEL,GO,2023-08-08,613655,17566218,66563,263,1791754,0
PERDRIEL,GO,2023-08-09,677084,16738773,63428,263,1707354,0
PERDRIEL,GO,2023-08-10,736309,15629395,59224,263,1594198,0
PERDRIEL2,GO,2023-05-01,24345,5319389,24345,218,542577,0
PERDRIEL2,GO,2023-05-02,59320,7642138,34975,218,779498,0
PERDRIEL2,GO,2023-05-03,95952,8004146,36632,218,816422,0
